Q,A,label
아 진짜! 사무실에서 피지 말라니깐! 간접흡연이 얼마나 안좋은데!,그럼 직접흡연하는 난 얼마나 안좋겠니? 안그래? 보면 꼭 지 생각만 하고.,1
그럼 직접흡연하는 난 얼마나 안좋겠니? 안그래? 보면 꼭 지 생각만 하고.,친구도 담배 피지?,0
친구도 담배 피지?,친구? 누구?,0
친구? 누구?,몰라! 니 친구래.,0
몰라! 니 친구래.,내 친구? 친구 누구?,0
내 친구? 친구 누구?,그걸 내가 어떻게 알아!,0
그래서 무슨 일 해?,그냥 암꺼나 조금. ,0
그냥 암꺼나 조금. ,암꺼나? 암꺼나 뭐?,0
암꺼나? 암꺼나 뭐?, 회사에서 코딩도 하고. 있어 그런 거.,0
 회사에서 코딩도 하고. 있어 그런 거.,사는 덴 어디야?,0
사는 덴 어디야?,니 마음 속.,2
니 마음 속.,남편은 뭐하는데?,0
남편은 뭐하는데?,동사무소에서 인구조사 나왔니? 솔로야.,0
언제부터 시작할 수 있어?,나?  나보고 뭘 하라고?,0
나?  나보고 뭘 하라고?,그럼 내가 널 왜 만나러 왔겠어?,0
그럼 내가 널 왜 만나러 왔겠어?,근데 왜 나한테?,0
근데 왜 나한테?,"내가 몇 명 만나봤는데, 보니까 죄다 사기꾼 같고 영 못 믿겠어. 아무래도 이런 일은 아는 사람한테 맡기는 게 딴 사람들도 다 그러더라.",0
"내가 몇 명 만나봤는데, 보니까 죄다 사기꾼 같고 영 못 믿겠어. 아무래도 이런 일은 아는 사람한테 맡기는 게 딴 사람들도 다 그러더라.",에이. 내가 무슨. 나 못해.,0
에이. 내가 무슨. 나 못해.,왜?,0
왜?,나 이런 거 한번도 안 해봤어.,0
나 이런 거 한번도 안 해봤어.,잘됐네. 그럼 이번에 해보면 되잖아.,0
잘됐네. 그럼 이번에 해보면 되잖아.,"야야. 그러지말고, 내가 이런 거 잘하는데 딴데 소개 시켜줄께. 이런 거",0
"야야. 그러지말고, 내가 이런 거 잘하는데 딴데 소개 시켜줄께. 이런 거",이런 거? 돈이 안된다 이거야? 돈 제대로 줄께. 걱정마.,0
이런 거? 돈이 안된다 이거야? 돈 제대로 줄께. 걱정마.,아니. 그런 게 아니라,0
아니. 그런 게 아니라,아니면 됐네.,0
아니면 됐네.,안된다니깐!,0
안 내켜.,왜 ?,0
왜 ?,뭔가 말리는 기분이야. 불길해. ,0
뭔가 말리는 기분이야. 불길해. ,뭐가?,0
뭐가?,생각해봐. 친구랍시고 갑자기 불쑥 나타나서는 안이상해?,0
생각해봐. 친구랍시고 갑자기 불쑥 나타나서는 안이상해?,뭐가 이상해? 우정만 돋는구만. 뭐.,0
뭐가 이상해? 우정만 돋는구만. 뭐.,우정 좋아하네. 싸가지 못봤어? 지가 뭐라고 ,1
우정 좋아하네. 싸가지 못봤어? 지가 뭐라고 ,절친이라며.,0
절친이라며.,  나이에 갑자기 연락하는 것도 이상하고 ,0
  나이에 갑자기 연락하는 것도 이상하고 ,복 받은 넘인가 보지. 뭐.,0
복 받은 넘인가 보지. 뭐.,  너 오늘 유난히 대답 잘 한다? 라임 맞춰가면서.,0
  너 오늘 유난히 대답 잘 한다? 라임 맞춰가면서.,그니까. 쓸데없는 걱정 말고 도전해봐.,0
"집 짓는 이유가 그렇게 중 해? 왜, 내가 사기라도 칠까봐?",또. 험악하게. 그런 게 아니라  왜 집을 짓는지 알아야 어떤 집이 필 한지를 알지. 널 잘 알아야 너한테 맞는 집을 잘 지을 거 아니야? 안그래?,0
또. 험악하게. 그런 게 아니라  왜 집을 짓는지 알아야 어떤 집이 필 한지를 알지. 널 잘 알아야 너한테 맞는 집을 잘 지을 거 아니야? 안그래?,아하~ 그러니까 날 잘 알고 싶다 이거지? 내가 궁금하시다? 뭐가 그렇게 궁금할까? 나 어디? 뭐?,0
아하~ 그러니까 날 잘 알고 싶다 이거지? 내가 궁금하시다? 뭐가 그렇게 궁금할까? 나 어디? 뭐?,그동안 어떻게 지냈어?,0
그동안 어떻게 지냈어?,음 대학 졸업하고 아나운서 시험 준비하면서 방송일 시작했지. 근데 시험엔 계속 떨어지고.  그러다가 에라 4년 전에 결혼하고.,0
음 대학 졸업하고 아나운서 시험 준비하면서 방송일 시작했지. 근데 시험엔 계속 떨어지고.  그러다가 에라 4년 전에 결혼하고.,남편은 뭐하는데?,0
남편은 뭐하는데?,의사. 돈 잘 버는 압구정동 성형외과. 비포에프터 전문.,0
의사. 돈 잘 버는 압구정동 성형외과. 비포에프터 전문., 오.,0
 오.,그러다가 음  그게 끝이네?  와. 나 너무 심플하게 살았나?,0
아무거나 막?,아무거나 막.,0
아무거나 막.,글쎄 별루 생각해본 게 음 일단. 밝게. 햇빛이 많이 들어오게.,0
글쎄 별루 생각해본 게 음 일단. 밝게. 햇빛이 많이 들어오게., 기본이고.,0
 기본이고.,거실이 넓었으면 좋겠어. 천장도 높고. 그렇다고 너무 휑하진 않게.,0
거실이 넓었으면 좋겠어. 천장도 높고. 그렇다고 너무 휑하진 않게., 이것도 뭐. 다들,0
 이것도 뭐. 다들,로비가 있었으면 좋겠어. 현관문 열면 집 다 보이지 않게 ,0
로비가 있었으면 좋겠어. 현관문 열면 집 다 보이지 않게 ,  건 좀 유니크 ,0
  건 좀 유니크 ,바닥은 돌 같은 거. 대리석같은 거루다가.,0
바닥은 돌 같은 거. 대리석같은 거루다가., 대리석?,0
 대리석?,거실에서 하늘이 다 보이는 거야. 별도 보이고.,0
화장실 가고 싶어 ,그럼 어서 가면 되지 ,0
그럼 어서 가면 되지 ,가기 귀찮아 ,0
가기 귀찮아 ,그럼 바지에 지려  그리고 샤워해 ,0
그럼 바지에 지려  그리고 샤워해 ,샤워하는거는 더 귀찮아 ,0
샤워하는거는 더 귀찮아 ,그럼 빨리 화장실 가라고!,0
너 재산 많아?,니 집이 내 집이지. 난 가진거 없어.,0
니 집이 내 집이지. 난 가진거 없어.,아니 그래도 니 나이가 몇인데 ,0
아니 그래도 니 나이가 몇인데 ,내 나이? 아직 한창이지.,0
내 나이? 아직 한창이지.,아  그래.,0
 그럼 너한테 예쁘고 좋은 집이 뭔데?,근데 그렇게 물어보면 뭐부터 얘길 해야할지 잘 모르겠단 말이지. ,0
근데 그렇게 물어보면 뭐부터 얘길 해야할지 잘 모르겠단 말이지. ,작은 거부터.,0
작은 거부터., 작은 거?,0
 작은 거?,예를 들어서 아침에 일어나서 제일 먼  하는 게 뭐야?,0
예를 들어서 아침에 일어나서 제일 먼  하는 게 뭐야?,  화장실 가지.,0
  화장실 가지.,그럼 그거부터. 화장실부터.,0
그럼 그거부터. 화장실부터.,난 화장실 어두운 게 그렇게 싫더라. 낮에도 불 켜야 되고. 화장실은 밝아야 되.,1
생각해 봤는데 증축을 하자.,증축?,0
증축?,"이 집을 없애지 말고. 적당히 털고. 그 옆에 새로, 또 적당하게. 증축.",0
"이 집을 없애지 말고. 적당히 털고. 그 옆에 새로, 또 적당하게. 증축.",글쎄 너무 낡지 않았어? ,0
글쎄 너무 낡지 않았어? ,멀쩡한데 뭘. 그리구 이거 아깝잖아?,0
멀쩡한데 뭘. 그리구 이거 아깝잖아?,그래. 그러자.,0
근데 방이 너무 작지 않아?,그럼 됐지 뭘. 작은 방 여러 개보다 안방이랑 거실을 그만큼 넓게 써. 그게 훨 나.,0
그럼 됐지 뭘. 작은 방 여러 개보다 안방이랑 거실을 그만큼 넓게 써. 그게 훨 나.,손님이라도 오면 ,0
손님이라도 오면 ,손님이 자고 갈 일이 있을까?,0
손님이 자고 갈 일이 있을까?,자고 가지 않더라도 ,0
자고 가지 않더라도 ,거실을 크게 쓰니 괜찮잔아. 안그래?,0
거실을 크게 쓰니 괜찮잔아. 안그래?,그건 그래.,0
그건 그래.,오케이.,0
너 왜 이렇게 뺀질뺀질해졌어? 옛날엔 안 그랬잖아? ,어머. 너 옛날엔 어땠는데?,0
어머. 너 옛날엔 어땠는데?,흉했지. 엄청 흉했지. 여자들한테 인기도 없었고 ,0
흉했지. 엄청 흉했지. 여자들한테 인기도 없었고 ,그건 지금도 그래.,0
 너 얘기 안했어? 그게 얘가 나를 하도 쫓아와서.,이건 또 무슨 창의적인 소릴까?,0
이건 또 무슨 창의적인 소릴까?,"에이. 뭐 어때, 이제와서. 괜찮아. 고백해. 사람이 솔직해야지.",0
"에이. 뭐 어때, 이제와서. 괜찮아. 고백해. 사람이 솔직해야지.",뭔 소리야? 숙제 도와달라고 니가 먼  따라왔잖아. 막.,0
뭔 소리야? 숙제 도와달라고 니가 먼  따라왔잖아. 막.,얼씨구.,0
그럼 강남이 어디야?, 모르겠는데 .,0
 모르겠는데 .,  기잖아.  기. 강 건너 아랫동네도 몰라?,0
  기잖아.  기. 강 건너 아랫동네도 몰라?, 잘 몰라서,0
 잘 몰라서,이제 알면 되지.,0
